Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name
13	24463028	24471402	C1QTNF9B-AS1
13	24902349	24903210	NUS1P3
13	24974841	24975167	CYCSP33
HG706_PATCH	75610476	75660403	BTC
HG185_PATCH	39868578	39872221	GAST
13	26688547	26728313	ATP8A2P3
13	100436111	100436237	SNORA25
HG185_PATCH	39873994	39890896	HAP1
13	28402900	28403006	RNU6-73P
HG185_PATCH	39910856	39943183	JUP
13	106549872	106549992	SNORA25
13	31002084	31002656	UBE2L5P
HG185_PATCH	39958199	39968855	LEPREL4
HG185_PATCH	39968962	39979465	FKBP10
13	113621798	113623138	MCF2L-AS1
13	34674848	34674975	SNORA25
HG185_PATCH	40009797	40021683	KLHL11
15	49280673	49338760	SECISBP2L
21	10906201	11029719	TPTE
HG185_PATCH	40023160	40075239	ACLY
13	42005425	42006446	OR7E36P
13	42830009	42830711	FHP1
13	42943374	42943793	FABP3P2
18	23749724	23751313	DHFRP1
HG185_PATCH	40122993	40131428	CNP
18	13217497	13652754	LDLRAD4
HG185_PATCH	40132691	40173905	DNAJC7
HG185_PATCH	40173272	40181893	NKIRAS2
21	15743436	15755805	HSPA13
HG185_PATCH	40257656	40268985	DHX58
13	46870580	46871979	LINC00563
15	49398268	49447858	COPS2
21	15857549	15955723	SAMSN1
HG185_PATCH	40269360	40277610	KAT2A
HG185_PATCH	40281228	40311269	RAB5C
15	22833395	22873892	TUBGCP5
21	16333556	16437321	NRIP1
15	41028082	41048049	RMDN3
HG183_PATCH	62399863	62491136	PECAM1
13	50601269	50699856	DLEU2
13	50746225	50747317	ST13P4
HG183_PATCH	62526397	62546003	MILR1
15	41056218	41059906	GCHFR
HG183_PATCH	62555145	62574426	POLG2
18	29991471	29993167	HNRNPA1P7
15	41060067	41099675	DNAJC17
13	51568647	51654998	GUCY1B2
21	17102344	17252377	USP25
21	28515663	28516268	GPX1P2
HG183_PATCH	62576980	62585072	DDX5
18	44259081	44339220	ST8SIA5
21	18884700	18965897	CXADR
13	52741844	52768600	MRPS31P5
18	13726659	13764557	RNMT
18	44388353	44500123	PIAS2
15	49447853	49660066	GALK2
21	18965971	18985265	BTG3
HG186_PATCH	50712672	51421329	DOCK3
HG186_PATCH	51422478	51426828	MANF
15	63334831	63364114	TPM1
HG186_PATCH	51428699	51435339	RBM15B
21	19161284	19191703	C21orf91
15	91073157	91188577	CRTC3
HG243_PATCH	145317005	145346273	BOP1
20	54967427	54979518	CSTF1
21	19273580	19639690	CHODL
HG186_PATCH	51433298	51537425	VPRBP
15	22892005	23006016	CYFIP1
21	19641433	19858197	TMPRSS15
HG243_PATCH	145346494	145369625	HSF1
HG186_PATCH	51579011	51701025	RAD54L2
20	2639041	2644865	IDH3B
20	54987168	55034396	CASS4
13	55014839	55015450	RPL13AP25
21	22370633	22915650	NCAM2
15	41107650	41120907	PPP1R14D
HG243_PATCH	145371194	145381813	DGAT1
18	13824154	13826861	MC5R
18	13882043	13915706	MC2R
15	63413999	63434260	LACTB
15	91260558	91358859	BLM
21	26957968	26979829	MRPL39
HG243_PATCH	145387965	145391184	SCRT1
20	57570240	57582302	CTSZ
9	34917172	34918293	GLULP4
20	55043647	55093943	RTFDC1
15	41136216	41150405	SPINT1
20	61870131	61870194	MIR3196
20	57594309	57601709	TUBB1
13	68406008	68406959	NPM1P22
15	49715293	49780972	FGF7
13	68476487	68477374	OR7E111P
13	68863811	68865412	ELL2P3
20	44420576	44440066	DNTTIP1
21	27011584	27089874	JAM2
HG243_PATCH	145409038	145416175	SLC52A2
20	57600522	57607437	ATP5E
20	10625847	10627014	JAG1
15	63418071	63450220	RPS27L
13	70681345	70713561	ATXN8OS
18	44558943	44561988	TCEB3B
9	116237	118417	FOXD4
20	11326031	11326503	RPS11P1
15	63481668	63559981	RAB8B
20	12360704	12361903	PA2G4P2
20	44441215	44445596	UBE2C
20	57608200	57617964	SLMO2
HG243_PATCH	145410334	145414279	FBXL6
21	27088815	27107984	ATP5J
15	49913177	49937333	DTWD1
20	14738209	14738702	RPS10P2
13	75812080	75814432	CTAGE11P
15	82590891	82626963	ADAMTS7P1
